"STORES","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41"
"FIPS","State","County","GROC16","GROC20","PCH_GROC_16_20","GROCPTH16","GROCPTH20","PCH_GROCPTH_16_20","SUPERC16","SUPERC20","PCH_SUPERC_16_20","SUPERCPTH16","SUPERCPTH20","PCH_SUPERCPTH_16_20","CONVS16","CONVS20","PCH_CONVS_16_20","CONVSPTH16","CONVSPTH20","PCH_CONVSPTH_16_20","SPECS16","SPECS20","PCH_SPECS_16_20","SPECSPTH16","SPECSPTH20","PCH_SPECSPTH_16_20","DS20","DSPTH20","SNAPS17","SNAPS23","PCH_SNAPS_17_23","SNAPSPTH17","SNAPSPTH23","PCH_SNAPSPTH_17_23","WICS16","WICS22","PCH_WICS_16_22","WICSPTH16","WICSPTH22","PCH_WICSPTH_16_22"
"01001","AL","Autauga","3","4","33.333333333333329","5.4247584193944931E-2","7.1244098246097565E-2","31.33137503669661","1","-9999","-9999","1.808252930641174E-2","-9999","-9999","31","26","-16.129032258064509","0.56055837869644165","0.46308666467666632","-17.38832523499914","1","-9999","-9999","1.808252930641174E-2","-9999","-9999","16","0.28497639298439031","44.666666666666657","42","-5.970149040222168","0.80474680503507257","0.71475976705551147","-11.18203067779541","5","4","-20","9.0828171265599694E-2","6.80723637342453E-2","-25.053688975870571"
"01003","AL","Baldwin","29","29","0","0.13956600427627561","0.12647904455661771","-9.3768964638063395","7","9","28.57142857142858","3.3688344061374657E-2","3.9252117276191711E-2","16.515425052299278","118","118","0","0.56788921356201172","0.51463884115219116","-9.3768944959905944","27","29","7.4074074074074181","0.1299407631158829","0.12647904455661771","-2.6640743645455771","59","0.25731942057609558","189.41666666666671","215","13.50637912750244","0.89083595136419802","0.92108643054962158","3.3957407474517818","29","27","-6.8965517241379306","0.145356122500125","0.11567132174968719","-20.422119302482269"
"01005","AL","Barbour","4","5","25","0.15487068891525271","0.20334295928478241","31.29854377806403","1","-9999","-9999","3.8717672228813171E-2","-9999","-9999","19","15","-21.05263157894737","0.73563575744628906","0.61002886295318604","-17.07460427550981","2","-9999","-9999","7.7435344457626343E-2","-9999","-9999","8","0.32534873485565191","36","41","13.888889312744141","1.4246141669964389","1.6481087207794189","15.688076019287109","9","9","0","0.33816788156609301","0.36177995800971979","6.9823533607853854"
"01007","AL","Bibb","5","4","-20","0.22133687138557431","0.1807011216878891","-18.359231990270949","1","-9999","-9999","4.4267375022172928E-2","-9999","-9999","15","10","-33.333333333333343","0.66401064395904541","0.45175281167030329","-31.96602859002267","-9999","-9999","-9999","-9999","-9999","-9999","3","0.1355258375406265","18.166666666666661","18","-0.91743117570877075","0.80142344567966584","0.80895239114761353","0.93944662809371948","5","4","-20","0.221513379408116","0.17976720631122589","-18.845892382860089"
"01009","AL","Blount","5","4","-20","8.6976185441017151E-2","6.9109693169593811E-2","-20.54182093734094","1","-9999","-9999","1.739523746073246E-2","-9999","-9999","27","29","7.4074074074074181","0.46967139840126038","0.50104528665542603","6.6799656868527402","-9999","-9999","-9999","-9999","-9999","-9999","12","0.20732907950878141","40.166666666666671","48","19.5020751953125","0.69237354845752974","0.81249892711639404","17.34979248046875","8","5","-37.5","0.13863856924996501","8.4635309875011444E-2","-38.952550987154098"
"01011","AL","Bullock","3","-9999","-9999","0.28854477405548101","-9999","-9999","-9999","-9999","-9999","-9999","-9999","-9999","6","5","-16.666666666666661","0.57708954811096191","0.50120288133621216","-13.14989450478808","-9999","-9999","-9999","-9999","-9999","-9999","5","0.50120288133621216","10.16666666666667","14","37.704917907714837","0.98619329388560162","1.3555383682250981","37.451591491699219","3","2","-33.333333333333329","0.28430629264594398","0.19364833831787109","-31.887424468994158"
"01013","AL","Butler","3","3","0","0.1497005969285965","0.15381459891796109","2.7481533632941479","1","-9999","-9999","4.9900200217962272E-2","-9999","-9999","22","21","-4.5454545454545414","1.0978044271469121","1.076702237129211","-1.922217609610366","-9999","-9999","-9999","-9999","-9999","-9999","12","0.61525839567184448","24.916666666666661","34","36.454849243164063","1.256830601092896","1.7912648916244509","42.522380828857422","4","4","0","0.19723865877711999","0.21073704957962039","6.8436841368676991"
"01015","AL","Calhoun","27","21","-22.222222222222221","0.23470912873744959","0.1850725710391998","-21.14811552718696","4","5","25","3.4771721810102463E-2","4.4064898043870933E-2","26.726246932840851","84","78","-7.1428571428571397","0.7302061915397644","0.68741244077682495","-5.8605023154763352","1","-9999","-9999","8.6929304525256157E-3","-9999","-9999","38","0.33489322662353521","136","142","4.4117646217346191","1.18541245380378","1.2224307060241699","3.1228163242340088","21","18","-14.285714285714279","0.18121726223863699","0.15495601296424871","-14.491582617447371"
"01017","AL","Chambers","7","5","-28.571428571428569","0.20745658874511719","0.15213753283023829","-26.665364667132501","1","-9999","-9999","2.9636655002832409E-2","-9999","-9999","22","28","27.27272727272727","0.65200638771057129","0.85197019577026367","30.6689952473989","1","-9999","-9999","2.9636655002832409E-2","-9999","-9999","10","0.30427506566047668","35.666666666666657","38","6.5420560836791992","1.0579499500687171","1.0978851318359379","3.7747704982757568","9","8","-11.111111111111111","0.26456581809630197","0.23113371431827551","-12.636592292454511"
